;name;address;post_code;addressLocality;addressCountry;e-mail;site;telephone;location;e_mail
27;ACUSTIC CELLER SLU;Carretera Tv-3002 De Capçanes A Marçà Km 3, 336;43775;Marça;Spain;;http://www.acusticceller.com;+34 672 432691;Hall 14 / D60-9;mailto:acustic@acusticceller.com
28;ACUSTIC CELLER SLU;Carretera Tv-3002 De Capçanes A Marçà Km 3, 336;43775;Marça;Spain;;http://www.acusticceller.com;+34 672 432691;Hall 14 / D60-9;mailto:acustic@acusticceller.com
29;Ada Nada Azienda Agricola di Anna Lisa Nada;Via Ausario 12b Località Rombona;12050;Treiso;Italy;;http://www.adanada.it;+39 0173 638127;Hall 15 / C06;mailto:info@adanada.it
30;Moreira & Picard - Adega Belém, Lda;Travessa Paulo Jorge 8-9;1300-444;Belém -Lisboa Lisboa;Portugal;;http://www.adegabelem.com;+351 21 3630707;Hall 13 / A10 – H20;mailto:admin@adegabelem.com
31;Adega Cooperativa da Vermelha CRL;Rua do Bairro das Amoreiras;2550-545;Vermelha;Portugal;;http://www.mundus.pt;+351 262 699200;Hall 13 / A10 – H20;mailto:geral@mundus.pt
32;Adega Cooperativa de Azueira, CRL;Estrada Nacional 8, Nº1 - Carrascal;2665-009;Azueira;Portugal;;http://www.adegadeazueira.com;+351 261 961179;Hall 13 / A10 – H20;mailto:geral@adegadeazueira.com
33;Adega Cooperativa de Palmela C.R.L.;Rua da Adega Cooperativa;2950-401;Palmela;Portugal;;http://www.acpalmela.pt;+351 233 7020;Hall 13 / A10 – H20;mailto:geral@acpalmela.pt
34;Adega Cooperativa de Penalva do Castelo;Calvario - Insua;3550-167;Penalva do Castelo;Portugal;;http://www.adegapenalva.com;+351 232 642264;Hall 13 / A10 – H20;mailto:geral@adegapenalva.com
35;Adega Cooperativa de Redondo C.R.L.;Estrada de Evora;7170-999;Redondo;Portugal;;http://www.acr.com.pt;+351 266 989100;Hall 13 / A10 – H20;mailto:geral@acr.com.pt
36;Adega Cooperativa de São Mamede da Ventosa, CRL;AV. 10 de Junho, n°8 - Arneiros;2565-831;Ventosa TVD;Portugal;;http://www.adegacoop-saomamede.pt;+351 2619 51182;Hall 13 / A10 – H20;mailto:geral@adegacoop-saomamede.pt
37;Adega Cooperativa Regional de Moncao, CRL;Avenida da Adega Cooperativa, N. 485;4950-279;Mazedo Monaco;Portugal;;http://www.adegademoncao.pt;+351 251 656120;Hall 13 / A10 – H20;mailto:geral@adegademoncao.pt
38;Adega Costa Atlântica Lda.;Cerro da Fontinha, CCI 5789 Brejão;7630-575;São Teotónio;Portugal;;http://www.vicentinowies.com;+351 282 940000;Hall 13 / A42;mailto:info@vicentinowines.com
39;Adega de Borba Adega Cooperativa de Borba, CRL;Largo Gago Coutinho e Sacadura Cabral, 25 Ap. 20;7151-913;Borba;Portugal;;http://www.adegaborba.pt;+351 268 891660;Hall 13 / A10 – H20;mailto:garal@adegaborba.pt
40;Adega De Sabrosa, CRL;Rua Das Flores, 27 - Alto De Paços;5060-321;Sabrosa;Portugal;;http://www.adegacooperativadesabrosa.pt;+351 259 939-177;Hall 13 / H40;mailto:adega.sabrosa@gmail.com
41;Adega do Montado L.da;Monte das Bagas de Ouro;7830-122;Brinches;Portugal;;http://www.adegadomontado.pt;+351 92 798161;Hall 13 / A10 – H20;mailto:monica.bertolo@adegadomontado.pt
42;Casa Agrícola Seixas Correia, Lda;Herdade da Barroqueira;7400-115;Ponte de Sôr;Portugal;;;+351 21 7124000;Hall 13 / H68;
43;Adega Mayor S.A. Sociedade Vitivinicola, Agridola e. Enoturistica, S.A.;Avenida Calouste Gulbenkian, 15;7370-025;Campo Maior;Portugal;;http://www.adegamayor.pt;+351 218 699-440;Hall 13 / A10 – H20;mailto:geral@adegamayor.pt
44;Adega Mayor S.A. Sociedade Vitivinicola, Agridola e. Enoturistica, S.A.;Avenida Calouste Gulbenkian, 15;7370-025;Campo Maior;Portugal;;http://www.adegamayor.pt;+351 218 699-440;Hall 13 / A10 – H20;mailto:geral@adegamayor.pt
45;Adega Molares Unipessoal Lda;Quinta da Cerca, n° 130;4890-414;Celorico de Basto;Portugal;;http://www.adegamolares.pt;+351 255 3682311;Hall 13 / A10 – H20;mailto:info@adegamolares.pt
46;Adega Mor, Lda;Alto dos Fetais E.N. 248;2590-095;Sobral de Monte Agraço;Portugal;;http://www.adegamor.pt;+351 261 943497;Hall 13 / A10 – H20;mailto:info@adegamor.pt
47;Adega Pedralonga, S.L.;Cruceiro, 17. Godos Caldas de Reis;36615;Pontevedra;Spain;;http://www.pedralonga.es;+34 986 535201;Hall 13 / D90-13;mailto:info@pedralonga.es
48;Adega Pedralonga, S.L.;Cruceiro, 17. Godos Caldas de Reis;36615;Pontevedra;Spain;;http://www.pedralonga.es;+34 986 535201;Hall 13 / D90-13;mailto:info@pedralonga.es
49;Viniverde-Promocao e Comércio de Vinhos Verdes S.A. Adega Ponte da Barca / Viniverde;Avenida Fernão Magalhães;4980-601;Ponte da Barca;Portugal;;http://adegapontedabarca.pt/;+351 258 480220;Hall 13 / A10 – H20;mailto:geral@adegapontedabarca.pt
50;ADEGA PONTE DA BOGA S.L.;O Couto - San Paio;32764;Castro Caldelas;Spain;;http://www.pontedaboga.es;+34 988 20330;Hall 13 / G90-13;mailto:info@pontedaboga.es
51;AdegaMãe - Sociedade Agrícola Lda.;E.M. 554 - Fernandinho;2565-841;Torres Vedras;Portugal;;http://adegamae.pt;+351 261 950100;Hall 13 / A23;mailto:geral@adegamae.pt
52;AdegaMãe - Sociedade Agrícola Lda.;E.M. 554 - Fernandinho;2565-841;Torres Vedras;Portugal;;http://adegamae.pt;+351 261 950100;Hall 13 / A23;mailto:geral@adegamae.pt
